Area Code,Country,Nation,International Territorial Level 1,International Territorial Level 2,International Territorial Level 3
K02000001,United Kingdom,,,,
K03000001,Great Britain,,,,
K04000001,England and Wales,,,,
E92000001,,England,,,
TLC,,,North East (England),,
TLC1,,,,Tees Valley and Durham,
TLC11,,,,,Hartlepool and Stockton-on-Tees
TLC12,,,,,South Teesside
TLC13,,,,,Darlington
TLC14,,,,,Durham
TLC2,,,,"Northumberland, and Tyne and Wear",
TLC21,,,,,Northumberland
TLC22,,,,,Tyneside
TLC23,,,,,Sunderland
TLD,,,North West (England),,
TLD1,,,,Cumbria,
TLD11,,,,,West Cumbria
TLD12,,,,,East Cumbria
TLD3,,,,Greater Manchester,
TLD33,,,,,Manchester
TLD34,,,,,Greater Manchester South West
TLD35,,,,,Greater Manchester South East
TLD36,,,,,Greater Manchester North West
TLD37,,,,,Greater Manchester North East
TLD4,,,,Lancashire,
TLD41,,,,,Blackburn with Darwen
TLD42,,,,,Blackpool
TLD44,,,,,Lancaster and Wyre
TLD45,,,,,Mid Lancashire
TLD46,,,,,East Lancashire
TLD47,,,,,Chorley and West Lancashire
TLD6,,,,Cheshire,
TLD61,,,,,Warrington
TLD62,,,,,Cheshire East
TLD63,,,,,Cheshire West and Chester
TLD7,,,,Merseyside,
TLD71,,,,,East Merseyside
TLD72,,,,,Liverpool
TLD73,,,,,Sefton
TLD74,,,,,Wirral
TLE,,,Yorkshire and The Humber,,
TLE1,,,,East Yorkshire and Northern Lincolnshire,
TLE11,,,,,"Kingston upon Hull, City of"
TLE12,,,,,East Riding of Yorkshire
TLE13,,,,,North and North East Lincolnshire
TLE2,,,,North Yorkshire,
TLE21,,,,,York
TLE22,,,,,North Yorkshire CC
TLE3,,,,South Yorkshire,
TLE31,,,,,"Barnsley, Doncaster and Rotherham"
TLE32,,,,,Sheffield
TLE4,,,,West Yorkshire,
TLE41,,,,,Bradford
TLE42,,,,,Leeds
TLE44,,,,,Calderdale and Kirklees
TLE45,,,,,Wakefield
TLF,,,East Midlands (England),,
TLF1,,,,Derbyshire and Nottinghamshire,
TLF11,,,,,Derby
TLF12,,,,,East Derbyshire
TLF13,,,,,South and West Derbyshire
TLF14,,,,,Nottingham
TLF15,,,,,North Nottinghamshire
TLF16,,,,,South Nottinghamshire
TLF2,,,,"Leicestershire, Rutland and Northamptonshire",
TLF21,,,,,Leicester
TLF22,,,,,Leicestershire CC and Rutland
TLF24,,,,,West Northamptonshire
TLF25,,,,,North Northamptonshire
TLF3,,,,Lincolnshire,
TLF30,,,,,Lincolnshire CC
TLG,,,West Midlands (England),,
TLG1,,,,"Herefordshire, Worcestershire and Warwickshire",
TLG11,,,,,"Herefordshire, County of"
TLG12,,,,,Worcestershire CC
TLG13,,,,,Warwickshire CC
TLG2,,,,Shropshire and Staffordshire,
TLG21,,,,,Telford and Wrekin
TLG22,,,,,Shropshire
TLG23,,,,,Stoke-on-Trent
TLG24,,,,,Staffordshire CC
TLG3,,,,West Midlands,
TLG31,,,,,Birmingham
TLG32,,,,,Solihull
TLG33,,,,,Coventry
TLG36,,,,,Dudley
TLG37,,,,,Sandwell
TLG38,,,,,Walsall
TLG39,,,,,Wolverhampton
TLH,,,East,,
TLH1,,,,East Anglia,
TLH11,,,,,Peterborough
